District,TotHh,TotHhPop,GroupPop,HhPerCapInc
13089021703,1888,4480,0,31182.35
13089021704,2226,4888,0,29833.57
13089021705,2338,4921,0,29523.71
13089021706,2711,6646,0,40322.45
13089021805,2434,6162,0,29910.71
13089021806,2424,6544,0,26097.73
13089021808,1757,4612,0,34810.48
13089021809,2683,6584,0,37237.17
13089021810,2312,5101,0,38796.68
13089021812,939,2237,0,21214.27
13089021813,1129,2309,0,12092.97
13089021814,2547,5316,0,24743.15
13089021906,1810,5282,0,19270.44
13089021907,3341,9151,0,27181.28
13089021908,2029,5393,0,20373.47
13089021909,2298,6109,0,19578.57
13089021910,2027,4772,0,27347.17
13089021911,1070,2782,0,9497.2
13089021912,1320,3810,0,44490.67
13089021913,1986,4365,0,20916.44
13089022001,1944,4249,0,31827.59
13089022004,1627,5440,0,21776.46
13089022005,1446,4021,0,15955.05
13089022007,1266,3618,0,23559.51
13089022008,2415,7122,0,15863.43
13089022009,2232,5592,0,18685.79
13089022010,689,2157,0,20921.87
13089022100,1454,3927,0,15751.92
13089022203,1287,2202,0,26503.44
13089022204,2663,5799,0,29417.84
13089022301,3015,5249,0,34427.18
13089022302,2039,3954,0,40254.37
13089022401,2164,3999,0,55361.85
13089022402,1159,2154,0,24913.92
13089022403,1701,3904,0,66435.32
13089022500,2516,5188,0,33712.91
13089022600,3129,5117,0,35023.13
13089022700,1713,4090,0,28458.49
13089022800,1338,3304,0,37801.37
13089022900,1761,4089,0,23516.75
13089023000,977,1888,0,34756.6
13089023101,1690,5080,0,16232.31
13089023102,1490,3471,0,24975.75
13089023107,1706,4863,0,18138.39
13089023108,1606,4983,0,15842.1
13089023111,613,1845,0,15756.93
13089023112,1942,4266,0,18716.29
13089023113,1418,3767,0,15628.64
13089023114,906,2695,0,20780.16
13089023115,0,0,0,0
13089023204,2329,6834,0,28424.93
13089023206,2535,8140,0,20839.9
13089023208,2188,6260,0,22338.26
13089023209,1748,5456,0,23725.91
13089023210,2500,6485,0,25335.27
13089023211,1183,3263,0,27437.21
13089023212,1265,3604,0,25260.38
13089023213,2157,6084,0,23076.41
13089023214,2098,5138,0,14500.81
13089023303,2715,7365,0,17278.6
13089023306,2241,7127,0,29532.27
13089023309,3477,9339,0,22113.36
13089023310,3971,10415,0,19320.48
13089023311,1403,4307,0,26970.5
13089023312,3186,9246,0,28839.44
13089023313,1621,4622,0,17543.39
13089023314,2013,6089,0,20991.63
13089023315,1934,5701,0,27834.64
13089023316,2787,8110,0,29076.56
13089023410,1548,3960,0,16044.94
13089023411,1298,3771,0,22778.91
13089023412,2276,6618,0,24011.76
13089023413,1275,3839,0,16462.76
13089023414,2269,6920,0,23651.49
13089023416,2492,7271,0,25239.42
13089023418,7068,18838,0,23733.18
13089023419,3002,9014,0,24290.18
13089023421,2977,7886,0,20489.51
13089023422,1814,5205,0,22304.52
13089023423,3173,8799,0,23048.94
13089023424,1699,5351,0,20779.48
13089023425,2080,5908,0,27351.1
13089023426,1506,4703,0,25827.23
13089023427,1020,2864,0,30594.29
13089023428,3499,8945,0,22351.64
13089023501,1306,3807,0,14954.9
13089023504,1334,3870,0,18153.32
13089023505,1015,3193,0,17411.09
13089023506,2116,6513,0,20473.92
13089023507,1483,4475,0,17497.86
13089023601,1031,3156,0,15030.65
13089023602,883,2725,0,15772.71
13089023603,1319,3955,0,17019.74
13089023700,2339,6561,0,20866.96
13089023801,1583,4395,0,16714.28
13089023802,1291,3688,0,13968.83
13089023803,1913,6123,0,16224.44
13089980000,0,0,0,0
13097080102,2906,6572,0,19838.14
13097080103,3077,6392,0,21761.43
13097080201,2195,5952,0,25130.76
13097080202,3478,9067,0,24532.77
13097080301,4346,12046,0,20275.34
13097080303,1444,4106,0,19271.26
13097080304,2291,5024,0,27525.5
